Species,FunctionalGroup,Duration,Lifeform,Pathway,Taxon,Specid,5Lspecid,Origin,ITISTaxon,ITISRecognizedName,Family,CountSpecies,Comment
16 Species Weeds,,,,,996,,,Unknown,,,,,"Used for Exp 141; 16 planted species are taxa 501, 100, 400, 102, 504, 510, 139, 105, 145, 403, 417, 416, 117, 103, 562, 120"
Acer negundo,W,Perennial,Woody,C3,317,Acernegu,Acene,Native,28749,Acer negundo,Aceraceae,Y,
Acer rubrum,W,Perennial,Woody,C3,324,Acerrubr,Aceru,Native,28728,Acer rubrum,Aceraceae,Y,
Acer sp.,W,Perennial,Woody,C3,359,Acersp,Acesp,Unknown,,,Aceraceae,Y,
Achillea millefolium(lanulosa),F,Perennial,Non-legume forb,C3,501,Achimill,Achmi,Native,35423,Achillea millefolium,Asteraceae,Y,
Achillea sp.,F,Perennial,Non-legume forb,C3,571,Achillsp,Achsp,Unknown,,,Asteraceae,Y,
Agastache foeniculum,F,Perennial,Non-legume forb,C3,572,Agasfoen,Agafo,Native,32440,Agastache foeniculum,Lamiaceae,Y,
Agrimonia sp.,,,,,1010,,,,,,,,
Agropyron repens,C3,Perennial,Grass,C3,100,Agrorepe,Agrre,Introduced,40382,Agropyron repens,Poaceae,Y,
Agropyron smithii,C3,Perennial,Grass,C3,108,Agrosmit,Agrsm,Native,40385,Agropyron smithii,Poaceae,Y,
Agrostis alba,C3,Perennial,Grass,C3,142,Agroalba,Agral,Introduced,40390,Agrostis alba,Poaceae,Y,
Agrostis scabra,C3,Perennial,Grass,C3,101,Agroscab,Agrsc,Native,40424,Agrostis scabra,Poaceae,Y,
Agrostis sp.,C3,Perennial,Grass,C3,136,Agrostsp,Agrsp,Unknown,,,Poaceae,Y,
Allium cernuum,F,,Non-legume forb,C3,720,Allicern,Allce,Native,42721,Allium cernuum,Lilliaceae,Y,
Allium sp.,F,,Non-legume forb,C3,770,Alliumsp,Allsp,Unknown,,,Lilliaceae,Y,
Allium stellatum,F,Perennial,Non-legume forb,C3,582,Allistel,Allst,Native,42669,Allium stellatum,Lilliaceae,Y,
Alnus incana,W,Perennial,Woody,C3,382,Alnuinca,Alnin,Native,,,,Y,
Alnus rugosa,W,Perennial,Woody,C3,327,Alnurugo,Alnru,Native,19475,Alnus rugosa,Betulaceae,Y,
Amaranthus retroflexus,F,Annual,Non-legume forb,C4,768,Amarretr,Amare,Introduced,20745,Amaranthus retroflexus,Amaranthaceae,Y,
Ambrosia artemisiifolia elatior,F,Annual,Non-legume forb,C3,503,Ambrarte,Ambar,Native,182420,Ambrosia artemisiifolia elatior,Asteraceae,Y,
Ambrosia coronopifolia,F,Perennial,Non-legume forb,C3,502,Ambrcoro,Ambco,Native,182425,Ambrosia coronopifolia,Asteraceae,Y,
Amelanchier alnifolia,,,,,1012,,,,,,,,
Amelanchier arborea,,,,,1013,,,,,,,,
Amelanchier humilis,,,,,1014,,,,,,,,
Amelanchier intermedia,,,,,1015,,,,,,,,
Amelanchier laevis,,,,,1016,,,,,,,,
Amelanchier sanguinea,,,,,1017,,,,,,,,
Amelanchier sp.,W,Perennial,Woody,C3,334,Amelansp,Amesp,Native,,,Rosaceae,Y,
Amorpha canescens,L,Perennial,Legume,C3,400,Amorcane,Amoca,Native,25371,Amorpha canescens,Fabaceae,Y,
Amphicarpa bracteata,L,Annual,Legume,C3,401,Amphbrac,Ampbr,Introduced,25388,Amphicarpa bracteata,Fabaceae,Y,
Andropogon gerardi,C4,Perennial,Grass,C4,102,Andrgera,Andge,Native,40462,Andropogon gerardii,Poaceae,Y,
Anemone cylindrica,F,Perennial,Non-legume forb,C3,504,Anemcyli,Anecy,Native,18438,Anemone cylindrica,Ranunculaceae,Y,
Anemone patens,F,Perennial,Non-legume forb,C3,721,Anempate,Anepa,Native,508854,Anemone patens,Ranunculaceae,Y,
Anemone quinquefolia,F,Perennial,Non-legume forb,C3,751,Anemquin,Anequ,Native,18448,Anemone quinquefolia,Ranunculaceae,Y,
Anemone virginiana,F,Perennial,Non-legume forb,C3,611,Anemvirg,Anevi,Native,18451,Anemone virginiana,Ranunculaceae,Y,
Annuals,,Annual,,,981,Annuals,Annua,Unknown,,,,Y,
Antennaria fallax,F,Perennial,Non-legume forb,C3,622,Antefall,Antfa,Native,36729,Antennaria fallax,Asteraceae,Y,
Antennaria neglecta,F,Perennial,Non-legume forb,C3,505,Antenegl,Antne,Native,36745,Antennaria neglecta,Asteraceae,Y,
Antennaria plantaginifolia,F,Perennial,Non-legume forb,C3,662,Anteplan,Antpl,Native,36717,Antennaria plantaginifolia,Asteraceae,Y,
Antennaria sp.,F,Perennial,Non-legume forb,C3,645,Antennsp,Antsp,Native,,,Asteraceae,Y,
Apocynum androsaemifolium,F,Perennial,Non-legume forb,C3,708,Apocandr,Apoan,Native,30156,Apocynum androsaemifolium,Apocynaceae,Y,
Apocynum cannabinum,F,Perennial,Non-legume forb,C3,573,Apoccann,Apoca,Native,30157,Apocynum cannabinum,Apocynaceae,Y,
Apocynum sibiricum,,,,,1018,,,,,,,,
