"","V1","site_code","year","plot","block","site_name","continent","country","region","managed","burned","grazed","anthropogenic","habitat","elevation","latitude","longitude","RAIN_PET","MAT_v2","MAT_RANGE_v2","ISO_v2","TEMP_VAR_v2","MAX_TEMP_v2","MIN_TEMP_v2","ANN_TEMP_RANGE_v2","TEMP_WET_Q_v2","TEMP_DRY_Q_v2","TEMP_WARM_Q_v2","TEMP_COLD_Q_v2","MAP_v2","MAP_WET_M_v2","MAP_DRY_M_v2","MAP_VAR_v2","MAP_WET_Q_v2","MAP_DRY_Q_v2","MAP_WARM_Q_v2","MAP_COLD_Q_v2","AI","PET","N_Dep","experiment_type","N","P","K","Exclose","trt","first_nutrient_year","first_fenced_year","year_trt","sum_INT_cover","sum_NAT_cover","sum_UNK_cover","total_cover","INT_rich","NAT_rich","UNK_rich","rich","site_year_rich","site_richness","site_native_richness","site_introduced_richness","plot_beta","dead_mass","live_mass","total_mass","unsorted_mass","proportion_par","Ambient_PAR","Ground_PAR","pct_C","pct_N","ppm_P","ppm_K","ppm_Ca","ppm_Mg","ppm_S","ppm_Na","ppm_Zn","ppm_Mn","ppm_Fe","ppm_Cu","ppm_B","pH","PercentSand","PercentSilt","PercentClay","Classification","rich.vegan","shan","simpson","even","site","soilts_post_trt_flag","soilts_after_n_treatment_yrs","soilts_pct_C","soilts_pct_N","soilts_ppm_P","soilts_ppm_K","soilts_ppm_Ca","soilts_ppm_Mg","soilts_ppm_S","soilts_ppm_Na","soilts_ppm_Zn","soilts_ppm_Mn","soilts_ppm_Fe","soilts_ppm_Cu","soilts_ppm_B","soilts_OrganicMatter","soilts_pH","soilts_CationExchangeCapacity","multiple_soildata_years","max.trt.yr","min.trt.yr","has.5.yrs.data","has.4.yrs.data","has.3.yrs.data","has.6.yrs.data","is.control","is.PretreatmentYr","is.TreatedYear","is.Fenced","newplotid","newblockid","avg_neighbor_rich","lagged_avg_neighbor_rich","avg.trt.neigh.rich.within.block","lagged_avg.trt.neigh.rich.within.block","avg.trt.neigh.rich.within.site","lagged_avg.trt.neigh.rich.within.site","laggedrich","laggedlive_mass","changerich","changelive_mass","lagged_changelive_mass","lagged_changerich","rich_increase","rich_decrease","rich_nochange","changeGround_PAR","changeAmbient_PAR","laggedeven","laggedshan","laggedsimpson","laggedplot_beta","changeEvenness","changeShan","changeSimpson","changePlot_beta","site_live_mass.yr","ave_site_live_mass","initial_site_rich","singleton","site.by.yeardummy"
"1",1,"bldr.us","2008",10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,0,11.5,44.5,7,63,4,3,1,8,17,40,7,15,5,188,174.5,362.5,NA,0.743407172995781,1896,1409.5,1.335,0.097,15,87,1390,268,27,78,1.1,24,259,3,0.6,6.7,72,17.1,10.8,"Sandy Loam",8,1.44998420639513,3.04254503641242,0.69729500797786,"bldr.us",0,0,"1.335","0.097",15,87,1390,268,27,78,1.1,24,259,3,0.6,2.5,6.7,8.5,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"bldr.us_10","bldr.us_1",9.68421052631579,NA,10.3333333333333,NA,9.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3340,3534.46258333333,17,FALSE,"bldr.us_2008"
"2",2,"bldr.us","2008",12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,0,12.5,29.5,2,44,4,3,1,8,17,40,7,15,5,272.5,194,466.5,NA,0.905128205128205,1950,1765,1.108,0.081,16,104,1586,322,32,67,1.4,31,298,3.6,0.6,7,72,19.1,8.8,"Sandy Loam",8,1.60510822780787,4.00413650465357,0.771893893449494,"bldr.us",0,0,"1.108","0.081",16,104,1586,322,32,67,1.4,31,298,3.6,0.6,2.3,7,9.3,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"bldr.us_12","bldr.us_2",9.68421052631579,NA,9.22222222222222,NA,9.77777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3340,3534.46258333333,17,FALSE,"bldr.us_2008"
"3",3,"bldr.us","2009",10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,1,9,27.5,3.5,40,4,3,2,9,27,40,7,15,4.4444,136,201.4,337.4,NA,0.654967602591793,1852,1213,1.335,0.097,15,87,1390,268,27,78,1.1,24,259,3,0.6,6.7,72,17.1,10.8,"Sandy Loam",9,1.47058141189061,3.03605313092979,0.669290443525558,"bldr.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"bldr.us_10","bldr.us_1",10.3684210526316,9.68421052631579,10.5555555555556,10.3333333333333,10.5,9.77777777777778,8,174.5,1,26.9,NA,NA,TRUE,FALSE,FALSE,-196.5,-44,0.69729500797786,1.44998420639513,3.04254503641242,5,-0.028004564452302,0.0205972054954799,-0.00649190548262979,-0.5556,5554.4,3534.46258333333,17,FALSE,"bldr.us_2009"
"4",4,"bldr.us","2009",12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,1,2.5,34,5,41.5,4,2,2,8,27,40,7,15,5,302,284,586,NA,0.759416445623342,1885,1431.5,1.108,0.081,16,104,1586,322,32,67,1.4,31,298,3.6,0.6,7,72,19.1,8.8,"Sandy Loam",8,1.29452311707745,2.87640918580376,0.622534027107918,"bldr.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"bldr.us_12","bldr.us_2",10.4210526315789,9.68421052631579,10.4444444444444,9.22222222222222,10.5,9.77777777777778,8,194,0,90,NA,NA,FALSE,FALSE,TRUE,-333.5,-65,0.771893893449494,1.60510822780787,4.00413650465357,5,-0.149359866341576,-0.31058511073042,-1.12772731884981,0,5554.4,3534.46258333333,17,FALSE,"bldr.us_2009"
"5",5,"bldr.us","2010",10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,2,8.3,32,2,42.3,5,2,1,8,25,40,7,15,5,50,84.14,134.14,NA,0.780327868852459,1830,1428,1.335,0.097,15,87,1390,268,27,78,1.1,24,259,3,0.6,6.7,72,17.1,10.8,"Sandy Loam",8,1.14956352386463,2.33579624818871,0.552823198355446,"bldr.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"bldr.us_10","bldr.us_1",10.6842105263158,10.3684210526316,10.5555555555556,10.5555555555556,10.7222222222222,10.5,9,201.4,-1,-117.26,26.9,1,FALSE,TRUE,FALSE,215,-22,0.669290443525558,1.47058141189061,3.03605313092979,4.4444,-0.116467245170112,-0.32101788802598,-0.70025688274108,0.5556,2527.64,3534.46258333333,17,FALSE,"bldr.us_2010"
"6",6,"bldr.us","2010",12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,2,18.2,42.1,0.2,60.5,5,3,2,10,25,40,7,15,4,52,85,137,NA,0.619017563117453,1822,1127.85,1.108,0.081,16,104,1586,322,32,67,1.4,31,298,3.6,0.6,7,72,19.1,8.8,"Sandy Loam",10,1.35350079955284,3.25630532449624,0.587817928497436,"bldr.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"bldr.us_12","bldr.us_2",10.5789473684211,10.4210526315789,10.8888888888889,10.4444444444444,10.7222222222222,10.5,8,284,2,-199,90,0,TRUE,FALSE,FALSE,-303.65,-63,0.622534027107918,1.29452311707745,2.87640918580376,5,-0.0347160986104821,0.05897768247539,0.37989613869248,-1,2527.64,3534.46258333333,17,FALSE,"bldr.us_2010"
"7",7,"bldr.us","2011",10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,3,5.2,45,1,51.2,3,2,1,6,18,40,7,15,6.6667,35.5,138.5,174,NA,0.592818831942789,1678,994.75,1.335,0.097,15,87,1390,268,27,78,1.1,24,259,3,0.6,6.7,72,17.1,10.8,"Sandy Loam",6,0.748453589266172,1.58776998461557,0.417719901649873,"bldr.us",1,3,"1.47","0.105",14,179,1186,298,15,55,307.5,48,957,5.1,0.6,2.7,7.2,7.6,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"bldr.us_10","bldr.us_1",7.42105263157895,10.6842105263158,7.44444444444444,10.5555555555556,7.5,10.7222222222222,8,84.14,-2,54.36,-117.26,-1,FALSE,TRUE,FALSE,-433.25,-152,0.552823198355446,1.14956352386463,2.33579624818871,5,-0.135103296705573,-0.401109934598458,-0.74802626357314,1.6667,3201.5,3534.46258333333,17,FALSE,"bldr.us_2011"
"8",8,"bldr.us","2011",12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,3,8,40.1,0,48.1,3,3,0,6,18,40,7,15,6.6667,10,52,62,NA,0.750286041189931,1748,1311.5,1.108,0.081,16,104,1586,322,32,67,1.4,31,298,3.6,0.6,7,72,19.1,8.8,"Sandy Loam",6,1.14546276464224,2.43023707734162,0.639294941265606,"bldr.us",1,3,"1.126","0.089",7,138,1297,293,11,42,435.2,40,311,3.3,0.4,2,7.4,7.9,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"bldr.us_12","bldr.us_2",7.42105263157895,10.5789473684211,7.55555555555556,10.8888888888889,7.5,10.7222222222222,10,85,-4,-33,-199,2,FALSE,TRUE,FALSE,183.65,-74,0.587817928497436,1.35350079955284,3.25630532449624,4,0.0514770127681701,-0.2080380349106,-0.82606824715462,2.6667,3201.5,3534.46258333333,17,FALSE,"bldr.us_2011"
"9",9,"bldr.us","2012",10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,4,38.2,4.1,1,43.3,7,2,1,10,16,40,7,15,4,185,134,319,NA,0.797129994372538,1777,1416.5,1.335,0.097,15,87,1390,268,27,78,1.1,24,259,3,0.6,6.7,72,17.1,10.8,"Sandy Loam",10,1.28858813532469,2.37018823559157,0.559626716617516,"bldr.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"bldr.us_10","bldr.us_1",8.42105263157895,7.42105263157895,8.44444444444444,7.44444444444444,8.44444444444444,7.5,6,138.5,4,-4.5,54.36,-2,TRUE,FALSE,FALSE,421.75,99,0.417719901649873,0.748453589266172,1.58776998461557,6.6667,0.141906814967643,0.540134546058518,0.782418250976,-2.6667,3633.5355,3534.46258333333,17,FALSE,"bldr.us_2012"
"10",10,"bldr.us","2012",12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.972022,-105.233544,-726,9.90416662643353,15.8083332230647,41.2750212645924,828.208517466782,29.1000003814697,-9.19999980926514,38.3000001907349,13.4999999503295,0.266666650772095,20.5833331743876,0.266666650772095,487,74,17,43.8951371051202,190,54,137,54,0.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,2009,4,5.2,46,0.1,51.3,4,3,1,8,16,40,7,15,5,166,90,256,NA,0.702755905511811,1778,1249.5,1.108,0.081,16,104,1586,322,32,67,1.4,31,298,3.6,0.6,7,72,19.1,8.8,"Sandy Loam",8,1.12067265541567,2.42099114099887,0.538929627476017,"bldr.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"bldr.us_12","bldr.us_2",8.52631578947368,7.42105263157895,8.44444444444444,7.55555555555556,8.44444444444444,7.5,6,52,2,38,-33,-4,TRUE,FALSE,FALSE,-62,30,0.639294941265606,1.14546276464224,2.43023707734162,6.6667,-0.100365313789589,-0.0247901092265699,-0.00924593634275039,-1.6667,3633.5355,3534.46258333333,17,FALSE,"bldr.us_2012"
