"","Year","Plot","TreatmentSR","ObservedSR","live.mass"
"1",1998,100,1,1,298.7
"2",1998,102,1,1,19.6
"3",1998,104,16,9,233
"4",1998,105,4,3,105.8
"5",1998,106,9,5,236.4
"6",1998,107,16,9,246.6
"7",1998,109,1,1,392.4
"8",1998,111,1,1,335.1
"9",1998,115,1,1,100.3
"10",1998,116,1,1,68
"11",1998,119,9,8,415.9
"12",1998,120,4,3,265.6
"13",1998,121,4,3,225.5
"14",1998,122,1,1,258.6
"15",1998,184,16,12,251
"16",1998,187,9,7,186.5
"17",1998,188,16,12,275.6
"18",1998,189,4,3,159.7
"19",1998,190,1,1,215.7
"20",1998,191,4,3,248.9
"21",1998,192,1,1,1.8
"22",1998,198,4,4,178.3
"23",1998,199,1,1,481.7
"24",1998,200,4,3,144.4
"25",1998,201,16,13,277.6
"26",1998,202,1,1,200
"27",1998,209,1,1,36.3
"28",1998,211,4,3,249.6
"29",1998,216,4,3,272.3
"30",1998,220,4,4,432.6
"31",1998,221,4,2,193.5
"32",1998,222,16,9,406.5
"33",1998,223,1,1,258.2
"34",1998,226,9,7,355.8
"35",1998,227,1,1,301.9
"36",1998,228,1,1,168.7
"37",1998,229,1,1,22.9
"38",1998,230,9,6,283.3
"39",1998,231,1,1,156
"40",1998,233,9,5,533.1
"41",1998,235,1,1,380.4
"42",1998,239,4,4,273.5
"43",1998,242,4,3,348.9
"44",1998,243,9,7,436.6
"45",1998,244,4,4,312.8
"46",1998,306,16,11,532.6
"47",1998,308,9,8,356.3
"48",1998,309,4,3,615
"49",1998,312,9,6,486.6
"50",1998,313,4,1,367.5
"51",1998,314,1,1,478.7
"52",1998,315,4,4,349.6
"53",1998,320,9,8,324.1
"54",1998,322,1,1,43.4
"55",1998,323,1,1,357.8
"56",1998,325,4,4,463
"57",1998,329,1,1,7.9
"58",1998,330,1,1,8.3
"59",1998,331,1,1,305.5
"60",1998,332,4,4,481
"61",1998,334,4,4,526.9
"62",1998,336,1,1,449.8
"63",1998,337,4,4,44.2
"64",1998,339,1,1,518.2
"65",1998,343,1,1,217.6
"66",1998,344,16,11,409.4
"67",1998,345,1,1,125.9
"68",1998,346,4,4,272.5
"69",1998,347,1,1,7.9
"70",1998,355,16,13,402.7
"71",1998,356,9,8,283.75
"72",1998,358,16,12,279
"73",1998,359,4,4,326.2
"74",1998,361,9,8,328.4
"75",1998,363,4,2,341.3
"76",1998,364,4,4,280.4
"77",1998,62,4,1,316.9
"78",1998,63,4,3,237.4
"79",1998,67,16,10,226.5
"80",1998,69,16,10,307.9
"81",1998,70,1,1,229.9
"82",1998,77,1,1,82.3
"83",1998,78,4,3,518
"84",1998,80,4,4,339.9
"85",1998,82,4,2,161.7
"86",1998,83,9,6,383.4
"87",1998,87,9,5,214.2
"88",1998,89,4,2,315.2
"89",1998,90,1,1,220.7
"90",1998,92,9,4,207.5
