"","site_code","year","site_name","plot","year_trt","trt","totplotcover.yr.live","sr_NA","sr_INT","sr_NAT","sr_UNK","sr_INT.site","sr_non.nat_rare","sr_nat_rare","sr_non.rare_non.nat","sr_non.rare_nat","sr_nat_dom","sr_non.nat_dom","sr_nat_unk_rare","sr_non.nat_unk_rare","sr_non.rare_nat_unk","sr_non.rare_non.nat_unk","sr_non_rare_spp.Freq","sr_non.rare_nat.Freq","sr_non.rare_non.nat.Freq","sr_rare_non.nat.Freq","sr_rare_nat.Freq","sr_rare_unk_nat.Freq","sr_non.rare_nat_unk.Freq","sr_non.rare_non.nat_unk.Freq","sr_rare_non.nat_unk.Freq","sr_non.rare_nat2","sr_non.rare_non.nat2","sr_nat_rare2","sr_non.nat_rare2","sr_non.rare_nat3","sr_non.rare_non.nat3","sr_nat_rare3","sr_non.nat_rare3"
"1","bldr.us",2008,"Boulder South Campus",10,0,"Control",63,0,4,3,1,12,0,1,4,2,1,0,2,1,3,5,7,3,3,1,0,1,4,4,2,2,3,1,1,3,4,0,0
"2","bldr.us",2009,"Boulder South Campus",10,1,"Control",40,2,4,3,2,10,0,0,4,2,1,0,1,1,3,5,6,2,3,1,0,1,3,4,2,2,3,0,1,2,4,0,0
"3","bldr.us",2010,"Boulder South Campus",10,2,"Control",42.3,2,5,2,1,14,0,0,3,2,1,0,1,1,3,4,5,2,2,1,0,1,3,3,2,2,2,0,1,2,3,0,0
"4","bldr.us",2011,"Boulder South Campus",10,3,"Control",51.2,0,3,2,1,10,0,0,3,2,1,0,1,1,3,4,5,2,2,1,0,1,3,3,2,2,2,0,1,2,3,0,0
"5","bldr.us",2012,"Boulder South Campus",10,4,"Control",43.3,3,7,2,1,10,0,1,4,1,0,0,2,1,2,5,6,2,3,1,0,1,3,4,2,1,3,1,1,2,4,0,0
"6","bldr.us",2008,"Boulder South Campus",12,0,"Control",44,0,4,3,1,12,0,1,4,2,1,0,2,1,3,5,7,3,3,1,0,1,4,4,2,2,3,1,1,3,4,0,0
"7","bldr.us",2009,"Boulder South Campus",12,1,"Control",41.5,1,4,2,2,10,0,0,4,2,1,0,1,1,3,5,6,2,3,1,0,1,3,4,2,2,3,0,1,2,4,0,0
"8","bldr.us",2010,"Boulder South Campus",12,2,"Control",60.5,3,5,3,2,14,0,0,4,2,1,0,1,1,3,5,6,2,3,1,0,1,3,4,2,2,3,0,1,2,4,0,0
"9","bldr.us",2011,"Boulder South Campus",12,3,"Control",48.1,0,3,3,0,10,0,1,3,2,1,0,1,0,2,3,5,3,2,1,0,0,3,2,1,2,2,1,1,3,3,0,0
"10","bldr.us",2012,"Boulder South Campus",12,4,"Control",51.3,1,4,3,1,10,0,0,4,2,1,0,1,1,3,5,6,2,3,1,0,1,3,4,2,2,3,0,1,2,4,0,0
"11","bldr.us",2013,"Boulder South Campus",10,5,"Control",43.1,1,3,3,1,7,0,0,3,2,1,0,1,1,3,4,6,2,3,0,0,1,3,4,1,2,3,0,0,2,3,0,0
"12","bldr.us",2013,"Boulder South Campus",12,5,"Control",63,1,2,4,1,7,0,1,2,2,1,0,2,1,3,3,6,3,2,0,0,1,4,3,1,2,2,1,0,3,2,0,0
"13","bnch.us",2007,"Bunchgrass (Andrews LTER)",7,0,"Control",153,0,0,8,1,2,0,1,0,7,1,0,2,1,8,1,8,7,0,0,1,2,8,1,1,6,0,2,0,8,0,0,0
"14","bnch.us",2008,"Bunchgrass (Andrews LTER)",7,1,"Control",135,2,0,10,1,2,0,1,0,7,1,0,2,1,8,1,8,7,0,0,1,2,8,1,1,6,0,2,0,8,0,0,0
"15","bnch.us",2009,"Bunchgrass (Andrews LTER)",7,2,"Control",88,1,0,9,1,2,0,1,0,7,1,0,2,1,8,1,8,7,0,0,1,2,8,1,1,6,0,2,0,8,0,0,0
"16","bnch.us",2010,"Bunchgrass (Andrews LTER)",7,3,"Control",138,5,0,10,1,3,0,1,0,4,1,0,2,1,5,1,6,5,0,0,0,1,6,1,1,4,0,1,0,5,0,0,0
"17","bnch.us",2011,"Bunchgrass (Andrews LTER)",7,4,"Control",136,4,0,9,2,2,0,1,0,6,1,0,1,0,6,0,7,7,0,0,0,0,7,0,0,6,0,1,0,7,0,0,0
"18","bnch.us",2013,"Bunchgrass (Andrews LTER)",7,6,"Control",103,5,1,11,2,1,0,1,0,7,1,0,2,1,8,1,8,7,0,0,1,2,8,1,1,6,0,2,0,8,0,0,0
"19","bnch.us",2014,"Bunchgrass (Andrews LTER)",7,7,"Control",133,3,0,8,2,3,0,0,0,6,1,0,1,1,7,1,7,6,0,0,0,1,7,1,1,6,0,0,0,6,0,0,0
"20","bnch.us",2015,"Bunchgrass (Andrews LTER)",7,8,"Control",112,3,1,9,1,3,0,1,0,6,1,0,2,1,7,1,8,7,0,0,0,1,8,1,1,6,0,1,0,7,0,0,0
"21","bnch.us",2016,"Bunchgrass (Andrews LTER)",7,9,"Control",136,5,0,12,0,3,0,1,0,6,1,0,1,0,6,0,7,7,0,0,0,0,7,0,0,6,0,1,0,7,0,0,0
