v1,site_code,year_actual,plot,block,site_name,continent,country,region,managed,burned,grazed,anthropogenic,habitat,elevation,latitude,longitude,rain_pet,mat_v2,mat_range_v2,iso_v2,temp_var_v2,max_temp_v2,min_temp_v2,ann_temp_range_v2,temp_wet_q_v2,temp_dry_q_v2,temp_warm_q_v2,temp_cold_q_v2,map_v2,map_wet_m_v2,map_dry_m_v2,map_var_v2,map_wet_q_v2,map_dry_q_v2,map_warm_q_v2,map_cold_q_v2,ai,pet,n_dep,experiment_type,n,p,k,exclose,trt,first_nutrient_year,first_fenced_year,year_trt,sum_int_cover,sum_nat_cover,sum_unk_cover,total_cover,int_rich,nat_rich,unk_rich,rich,site_year_rich,site_richness,site_native_richness,site_introduced_richness,plot_beta,dead_mass,live_mass,total_mass,unsorted_mass,proportion_par,ambient_par,ground_par,pct_c,pct_c2,pct_n,pct_n2,ppm_p,ppm_k,ppm_ca,ppm_mg,ppm_s,ppm_na,ppm_zn,ppm_mn,ppm_fe,ppm_cu,ppm_b,ph,percentsand,percentsand_2,percentsilt,percentsilt_2,percentclay,percentclay_2,classification,richvegan,shan,simpson,even,site,soilts_post_trt_flag,soilts_after_n_treatment_yrs,soilts_pct_c,soilts_pct_n,soilts_ppm_p,soilts_ppm_k,soilts_ppm_ca,soilts_ppm_mg,soilts_ppm_s,soilts_ppm_na,soilts_ppm_zn,soilts_ppm_mn,soilts_ppm_fe,soilts_ppm_cu,soilts_ppm_b,soilts_organicmatter,soilts_ph,soilts_cationexchangecapacity,multiple_soildata_years,maxtrtyr,mintrtyr,has5yrsdata,has4yrsdata,has3yrsdata,has6yrsdata,iscontrol,ispretreatmentyr,istreatedyear,isfenced,newplotid,newblockid,avg_neighbor_rich,lagged_avg_neighbor_rich,avgtrtneighrichwithinblock,lagged_avgtrtneighrichwithinbloc,avgtrtneighrichwithinsite,lagged_avgtrtneighrichwithinsite,laggedrich,laggedlive_mass,changerich,changelive_mass,lagged_changelive_mass,lagged_changerich,rich_increase,rich_decrease,rich_nochange,changeground_par,changeambient_par,laggedeven,laggedshan,laggedsimpson,laggedplot_beta,changeevenness,changeshan,changesimpson,changeplot_beta,site_live_massyr,ave_site_live_mass,initial_site_rich,year,yr_in_plot,plst_id,site_code2,styr_id,duplicates,l_lmass,l_rich,l_nbrich,l_nbrichblock,l_simpson,l_even,l_ground_par,ihs_even,rich2,pais,tierra
1,"bldr.us",2008,10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",0,"11.5","44.5","7","63","4","3","1",8,17,40,7,15,"5","188",174.5,362.5,"NA","0.743407172995781","1896",1409.5,"1.335",1.335,"0.097",.097,15,87,1390,268,27,78,1.1,24,259,3,.6,6.7,"72",72,"17.1",17.1,"10.8",10.8,"Sandy Loam","8",1.4499842,3.042545,.69729501,"bldr.us","0","0","1.335","0.097","15","87","1390","268","27","78","1.1","24","259","3","0.6","2.5","6.7","8.5","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","bldr.us_10","bldr.us_1",9.6842105,,10.333333,"NA",9.777778,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3340,3534.463,17,2,6,1,1,1,0,5.161925,2.079442,2.270497,2.335375,1.112694,-.3605467,7.25099,.6504492,64,"US","shortgrass prairie"
3,"bldr.us",2009,10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",1,"9","27.5","3.5","40","4","3","2",9,27,40,7,15,"4.4444","136",201.4,337.4,"NA","0.654967602591793","1852",1213,"1.335",1.335,"0.097",.097,15,87,1390,268,27,78,1.1,24,259,3,.6,6.7,"72",72,"17.1",17.1,"10.8",10.8,"Sandy Loam","9",1.4705814,3.0360531,.66929044,"bldr.us","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","bldr.us_10","bldr.us_1",10.368421,9.6842105,10.555556,"10.3333333333333",10.5,"9.77777777777778","8","174.5","1","26.9","NA","NA","TRUE","FALSE","FALSE","-196.5","-44","0.69729500797786","1.44998420639513","3.04254503641242","5","-0.028004564452302","0.0205972054954799","-0.00649190548262979","-0.5556",5554.4,3534.463,17,3,6,1,1,2,0,5.305293,2.197225,2.338765,2.356652,1.110558,-.4015372,7.100852,.6273269,81,"US","shortgrass prairie"
5,"bldr.us",2010,10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",2,"8.3","32","2","42.3","5","2","1",8,25,40,7,15,"5","50",84.14,134.14,"NA","0.780327868852459","1830",1428,"1.335",1.335,"0.097",.097,15,87,1390,268,27,78,1.1,24,259,3,.6,6.7,"72",72,"17.1",17.1,"10.8",10.8,"Sandy Loam","8",1.1495635,2.3357962,.5528232,"bldr.us","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","bldr.us_10","bldr.us_1",10.684211,10.368421,10.555556,"10.5555555555556",10.72222,"10.5","9","201.4","-1","-117.26","26.9","1","FALSE","TRUE","FALSE","215","-22","0.669290443525558","1.47058141189061","3.03605313092979","4.4444","-0.116467245170112","-0.32101788802598","-0.70025688274108","0.5556",2527.64,3534.463,17,4,6,1,1,3,0,4.432482,2.079442,2.368767,2.356652,.8483528,-.5927171,7.26403,.5279527,64,"US","shortgrass prairie"
7,"bldr.us",2011,10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",3,"5.2","45","1","51.2","3","2","1",6,18,40,7,15,"6.6667","35.5",138.5,174,"NA","0.592818831942789","1678",994.75,"1.335",1.335,"0.097",.097,15,87,1390,268,27,78,1.1,24,259,3,.6,6.7,"72",72,"17.1",17.1,"10.8",10.8,"Sandy Loam","6",.74845359,1.58777,.4177199,"bldr.us","1","3","1.47","0.105","14","179","1186","298","15","55","307.5","48","957","5.1","0.6","2.7","7.2","7.6","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","bldr.us_10","bldr.us_1",7.4210526,10.684211,7.4444444,"10.5555555555556",7.5,"10.7222222222222","8","84.14","-2","54.36","-117.26","-1","FALSE","TRUE","FALSE","-433.25","-152","0.552823198355446","1.14956352386463","2.33579624818871","5","-0.135103296705573","-0.401109934598458","-0.74802626357314","1.6667",3201.5,3534.463,17,5,6,1,1,4,0,4.930871,1.791759,2.004321,2.007468,.4623305,-.8729442,6.902492,.4064371,36,"US","shortgrass prairie"
9,"bldr.us",2012,10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",4,"38.2","4.1","1","43.3","7","2","1",10,16,40,7,15,"4","185",134,319,"NA","0.797129994372538","1777",1416.5,"1.335",1.335,"0.097",.097,15,87,1390,268,27,78,1.1,24,259,3,.6,6.7,"72",72,"17.1",17.1,"10.8",10.8,"Sandy Loam","10",1.2885881,2.3701882,.55962672,"bldr.us","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","bldr.us_10","bldr.us_1",8.4210526,7.4210526,8.4444444,"7.44444444444444",8.444445,"7.5","6","138.5","4","-4.5","54.36","-2","TRUE","FALSE","FALSE","421.75","99","0.417719901649873","0.748453589266172","1.58776998461557","6.6667","0.141906814967643","0.540134546058518","0.782418250976","-2.6667",3633.535,3534.463,17,6,6,1,1,5,0,4.89784,2.302585,2.130735,2.133509,.8629694,-.5804853,7.255944,.5338984,100,"US","shortgrass prairie"
11,"bldr.us",2013,10,1,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",5,"7.1","34","2","43.1","3","3","1",7,16,40,7,15,"5.7143","239.4",133.1,372.5,"NA","0.572710622710623","1638",938.1,"1.335",1.335,"0.097",.097,15,87,1390,268,27,78,1.1,24,259,3,.6,6.7,"72",72,"17.1",17.1,"10.8",10.8,"Sandy Loam","7",1.0433756,1.9533023,.53618901,"bldr.us","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","bldr.us_10","bldr.us_1",7.5789474,8.4210526,8,"8.44444444444444",7.611111,"8.44444444444444","10","134","-3","-0.900000000000006","-4.5","4","FALSE","TRUE","FALSE","-478.4","-139","0.559626716617516","1.28858813532469","2.37018823559157","4","-0.023437703460396","-0.2452124928103","-0.41688595696148","1.7143",2949.7,3534.463,17,7,6,1,1,6,0,4.891101,1.94591,2.025374,2.079442,.6695214,-.6232685,6.843856,.5133439,49,"US","shortgrass prairie"
2,"bldr.us",2008,12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",0,"12.5","29.5","2","44","4","3","1",8,17,40,7,15,"5","272.5",194,466.5,"NA","0.905128205128205","1950",1765,"1.108",1.108,"0.081",.081,16,104,1586,322,32,67,1.4,31,298,3.6,.6,7,"72",72,"19.1",19.1,"8.8",8.8,"Sandy Loam","8",1.6051082,4.0041365,.77189389,"bldr.us","0","0","1.108","0.081","16","104","1586","322","32","67","1.4","31","298","3.6","0.6","2.3","7","9.3","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","bldr.us_12","bldr.us_2",9.6842105,,9.2222222,"NA",9.777778,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",3340,3534.463,17,2,6,2,1,1,0,5.267858,2.079442,2.270497,2.221616,1.387328,-.2589082,7.475906,.7105703,64,"US","shortgrass prairie"
4,"bldr.us",2009,12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",1,"2.5","34","5","41.5","4","2","2",8,27,40,7,15,"5","302",284,586,"NA","0.759416445623342","1885",1431.5,"1.108",1.108,"0.081",.081,16,104,1586,322,32,67,1.4,31,298,3.6,.6,7,"72",72,"19.1",19.1,"8.8",8.8,"Sandy Loam","8",1.2945231,2.8764092,.62253403,"bldr.us","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","bldr.us_12","bldr.us_2",10.421053,9.6842105,10.444444,"9.22222222222222",10.5,"9.77777777777778","8","194","0","90","NA","NA","FALSE","FALSE","TRUE","-333.5","-65","0.771893893449494","1.60510822780787","4.00413650465357","5","-0.149359866341576","-0.31058511073042","-1.12772731884981","0",5554.4,3534.463,17,3,6,2,1,2,0,5.648974,2.079442,2.343828,2.34607,1.056543,-.473957,7.266478,.5880514,64,"US","shortgrass prairie"
6,"bldr.us",2010,12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",2,"18.2","42.1","0.2","60.5","5","3","2",10,25,40,7,15,"4","52",85,137,"NA","0.619017563117453","1822",1127.85,"1.108",1.108,"0.081",.081,16,104,1586,322,32,67,1.4,31,298,3.6,.6,7,"72",72,"19.1",19.1,"8.8",8.8,"Sandy Loam","10",1.3535008,3.2563053,.58781793,"bldr.us","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","bldr.us_12","bldr.us_2",10.578947,10.421053,10.888889,"10.4444444444444",10.72222,"10.5","8","284","2","-199","90","0","TRUE","FALSE","FALSE","-303.65","-63","0.622534027107918","1.29452311707745","2.87640918580376","5","-0.0347160986104821","0.05897768247539","0.37989613869248","-1",2527.64,3534.463,17,4,6,2,1,3,0,4.442651,2.302585,2.358866,2.387743,1.180593,-.531338,7.028069,.5583508,100,"US","shortgrass prairie"
8,"bldr.us",2011,12,2,"Boulder South Campus","North America","US","Central plains (North America)",1,0,0,0,"shortgrass prairie",1633,39.97202,-105.2335,-726,9.904166,15.80833,41.27502,828.2085,29.1,-9.2,38.3,13.5,.2666667,20.58333,.2666667,487,74,17,43.89514,190,54,137,54,.3701,1151,1.9379,"Experimental (Full Factorial)",0,0,0,0,"Control",2009,"2009",3,"8","40.1","0","48.1","3","3","0",6,18,40,7,15,"6.6667","10",52,62,"NA","0.750286041189931","1748",1311.5,"1.108",1.108,"0.081",.081,16,104,1586,322,32,67,1.4,31,298,3.6,.6,7,"72",72,"19.1",19.1,"8.8",8.8,"Sandy Loam","6",1.1454628,2.4302371,.63929494,"bldr.us","1","3","1.126","0.089","7","138","1297","293","11","42","435.2","40","311","3.3","0.4","2","7.4","7.9","TRUE",5,0,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","bldr.us_12","bldr.us_2",7.4210526,10.578947,7.5555556,"10.8888888888889",7.5,"10.7222222222222","10","85","-4","-33","-199","2","FALSE","TRUE","FALSE","183.65","-74","0.587817928497436","1.35350079955284","3.25630532449624","4","0.0514770127681701","-0.2080380349106","-0.82606824715462","2.6667",3201.5,3534.463,17,5,6,2,1,4,0,3.951244,1.791759,2.004321,2.022283,.8879888,-.4473894,7.178927,.6022268,36,"US","shortgrass prairie"
