site_code,year,plot,live_mass,dead_mass,total_mass
marc.ar,2011,1,568.658,437.5997,1006.2577
marc.ar,2012,1,310.3,152.4,462.70000000000005
marc.ar,2011,6,342.737,406.1381,748.8751
marc.ar,2012,6,NA,NA,NA
marc.ar,2011,8,279.4075,340.6715,620.079
marc.ar,2012,8,NA,NA,NA
marc.ar,2011,11,340.55,440.0993,780.6493
marc.ar,2012,11,NA,NA,NA
marc.ar,2011,17,550.4087,531.3123,1081.721
marc.ar,2012,17,NA,NA,NA
marc.ar,2011,19,263.8965,378.2273,642.1238000000001
marc.ar,2012,19,541.45,390.25,931.7
marc.ar,2011,21,266.5835,320.9993,587.5828
marc.ar,2012,21,789.45,705.8,1495.25
comp.pt,2015,5,250.79999999999998,28.1,278.9
comp.pt,2015,19,166.21,16.75,182.96
comp.pt,2015,34,104.94,17.25,122.19
