"","abisko.se","amcamp.us","anti.ec","arch.us","azi.cn","badlau.de","bari.ar","barta.us","bayr.de","bldr.us","bnch.us","bogong.au","bttr.us","bunya.au","burrawan.au","burren.ie","cbgb.us","cdcr.us","cdpt.us","cereep.fr","chilcas.ar","comp.pt","cowi.ca","derr.au","doane.us","elkh.us","elliot.us","elva.ee","ethamc.au","ethass.au","fnly.us","frue.ch","gall.it","gilb.za","glac.us","glcr.us","hall.us","hart.us","hast.us","hero.uk","hnvr.us","hopl.us","jasp.us","jena.de","jorn.us","kark.se","kbs.us","kibber.in","kidman.au","kilp.fi","kiny.au","kirik.ee","koffler.ca","konz.us","konzn1b.us","lake.us","lakta.se","lancaster.uk","lead.us","look.us","marc.ar","mcla.us","mitch.au","msla.us","mtca.au","nilla.au","niwo.us","pape.de","pich.ec","ping.au","pinj.au","podo.ec","potrok.ar","rook.uk","saana.fi","sage.us","saline.us","sava.us","sedg.us","sereng.tz","sevi.us","sgs.us","shps.us","sier.us","smith.us","spin.us","spv.ar","summ.za","sval.no","temple.us","trel.us","tyso.us","ucsc.us","ufrec.us","ukul.za","unc.us","uwo.ca","valm.ch","vass.se","yarra.au"
"0",210,810,3563,2046,2640,1392,1640,1620,1590,1457,2173,1764,1830,510,1365,2220,5544,9048,6048,3410,2890,2263,3335,480,2318,127,3724,510,21,168,1235,1599,1696,2220,510,1200,3763,1519,960,1710,1656,3304,1020,1482,1050,370,4160,768,810,2795,2940,2490,3542,3002,816,1650,300,884,390,3927,2080,2343,170,1350,3102,775,1496,266,3710,1242,2250,1980,2409,1280,0,1702,0,1890,4182,2325,4410,2170,3525,3503,1829,1650,570,3150,450,4356,640,2808,117,128,4716,2046,990,3390,410,1107
"1",0,0,0,310,88,0,480,216,0,1054,3233,1386,0,0,858,148,2184,7696,3948,330,85,0,1886,0,456,0,2744,0,0,0,0,1394,0,296,0,200,3127,833,0,57,966,3658,0,684,0,0,1755,144,27,65,1932,0,2990,3634,0,0,0,510,0,3417,520,1136,0,0,2640,75,0,210,980,667,870,0,462,520,6600,1012,25920,2170,2856,975,2583,5740,2175,24521,708,1000,0,0,0,1980,1300,702,0,28,2358,726,0,565,0,108
"2",0,0,0,620,0,0,120,432,0,465,4240,1890,0,0,1677,370,5292,11960,7140,880,255,146,713,0,760,0,2695,0,0,0,0,1681,0,962,0,75,2491,2009,0,684,1334,590,0,570,0,0,1105,720,135,975,4536,0,2530,5293,0,594,0,1054,0,3264,1300,2201,0,0,3300,275,0,210,1260,414,300,0,99,1200,0,1564,0,1540,1734,2025,3276,1610,3750,3051,1770,4500,0,525,0,2277,860,1134,0,0,2358,396,0,791,0,432
"3",0,0,0,248,528,116,80,648,0,341,3551,1974,0,0,2067,222,6888,11128,8400,1210,850,219,253,0,152,0,1764,0,0,0,0,1640,0,1258,0,25,1643,1519,0,1539,736,826,0,456,0,0,1040,600,189,1105,3948,0,1610,3634,0,330,0,1870,0,2295,1040,2556,0,0,3696,100,0,182,560,276,120,0,0,1520,0,1932,0,1260,782,1725,2331,2940,5925,5876,2950,3600,0,840,0,2376,400,594,0,0,3013,1584,0,2599,0,243
"4",0,0,0,124,264,116,40,972,0,186,1802,1806,0,0,1833,444,5292,7696,8736,1540,425,584,0,0,380,0,1078,0,0,0,0,1148,0,1110,0,0,636,980,0,1824,506,2124,0,627,0,0,975,240,324,1170,3528,0,1104,1896,0,396,0,1156,0,1275,975,2911,0,0,4422,150,0,98,350,92,30,0,0,1600,0,1058,0,980,578,1350,2772,2240,5325,5311,2832,2550,0,1155,0,3069,320,324,0,0,3537,1320,0,3164,0,162
"5",0,0,0,248,968,116,40,756,0,62,1325,1218,0,0,819,148,3864,4368,7056,1430,170,511,23,0,114,0,686,0,0,0,0,820,0,888,0,0,318,1127,0,2280,230,2006,0,228,0,0,455,360,81,1755,2184,0,368,1580,0,66,0,1122,0,765,1040,2627,0,0,2442,50,0,14,140,69,30,0,0,1400,0,1012,0,280,544,825,2646,1890,3450,3729,2773,1950,0,735,0,3267,80,540,0,0,4323,1122,0,4746,0,81
"6",0,0,0,124,1320,116,0,702,0,93,477,882,0,0,507,222,2772,3224,4200,770,425,803,0,0,0,0,294,0,0,0,0,451,0,1184,0,0,371,392,0,1881,46,3776,0,0,0,0,130,48,0,910,1764,0,506,948,0,66,0,612,0,459,1105,2556,0,0,1914,75,0,0,0,0,0,0,0,400,0,644,0,140,272,1125,1323,1750,3000,3277,1829,700,0,1575,0,2178,0,108,0,0,3799,1056,0,3051,0,27
"7",0,0,0,0,1408,348,0,486,0,62,265,294,0,0,195,222,1848,936,2688,2090,340,803,0,0,0,0,0,0,0,0,0,82,0,592,0,0,265,196,0,969,46,3658,0,57,0,0,65,0,0,520,1008,0,276,474,0,0,0,340,0,153,325,2272,0,0,1386,0,0,0,0,0,0,0,0,240,0,230,0,0,238,525,378,1330,1575,2260,1180,450,0,1050,0,1980,0,162,0,0,2751,660,0,4068,0,0
"8",0,0,0,0,1408,174,0,216,0,0,159,84,0,0,39,74,840,416,1092,2310,765,949,0,0,0,0,0,0,0,0,0,41,0,296,0,0,53,196,0,513,0,3068,0,0,0,0,65,0,0,390,336,0,184,553,0,66,0,136,0,51,975,1704,0,0,330,0,0,0,0,0,0,0,0,160,0,368,0,70,34,300,189,840,900,2260,1003,50,0,1050,0,1287,0,108,0,0,2358,396,0,3390,0,0
"9",0,0,0,0,1760,116,0,108,0,0,159,42,0,0,0,148,924,416,588,1430,1105,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,57,0,2950,0,0,0,0,0,0,0,325,168,0,0,237,0,0,0,0,0,0,650,1349,0,0,198,0,0,0,0,0,0,0,0,40,0,92,0,70,0,75,252,350,225,1469,354,0,0,735,0,792,0,0,0,0,1572,396,0,1356,0,0
"10",0,0,0,0,880,58,0,270,0,0,0,0,0,0,0,148,420,312,252,1650,425,876,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,49,0,0,0,1888,0,0,0,0,0,0,0,260,84,0,92,79,0,0,0,0,0,0,325,994,0,0,264,0,0,0,0,0,0,0,0,40,0,46,0,0,0,0,0,140,75,1469,354,50,0,420,0,297,0,0,0,0,131,132,0,1356,0,0
"11",0,0,0,0,440,58,0,54,0,0,0,0,0,0,0,74,84,0,84,1210,340,949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,0,3422,0,0,0,0,0,0,0,65,168,0,46,0,0,0,0,0,0,0,455,355,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678,0,0,0,105,0,495,0,0,0,0,393,66,0,678,0,0
"12",0,0,0,0,440,58,0,0,0,0,0,0,0,0,0,0,252,0,84,330,340,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2360,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,585,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,678,118,0,0,0,0,594,0,0,0,0,0,0,0,678,0,0
"13",0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,84,0,84,660,255,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,198,0,0,0,0,131,0,0,339,0,0
"14",0,0,0,0,176,58,0,0,0,0,0,0,0,0,0,0,0,0,0,330,425,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0
"15",0,0,0,0,176,58,0,0,0,0,0,0,0,0,0,0,0,0,0,110,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,198,0,0,0,0,0,0,0,113,0,0
"16",0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,170,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,99,0,0,0,0,0,0,0,113,0,0
